"DAY SHEETS, as at 5:48AM on Friday 4th"
DAY 1: Friday 23rd January 2026
148 (D),07:43,50,M Snr 1X,heat,1,SPCC 2,WESC 1,SHAC 1,AWGC 2,HAMC 1,TGAC 2,BPCC 1,SPCC 4,HWBC 1,"1,2=FA + 3 NF; NF 9=FB"
149 (E),07:47,50,M Snr 1X,heat,2,WHAC 1,SPCC 3,TBJC 1,TGAC 1,SPCC 1,AWGC 3,WELC 1,SGEC 2,WESC 3,"1,2=FA + 3 NF; NF 9=FB"
150 (F),07:51,50,M Snr 1X,heat,3,TGAC 3,SGEC 1,TPOC 1,WKOC 1,AWGC 1,LHOC 1,TGBC 1,WESC 2,SPCC 5,"1,2=FA + 3 NF; NF 9=FB"
151 (G),07:55,51,W Snr 1X,heat,1,,STAC 1,HWBC 1,WKOC 1,WESC 1,PETC 1,NSHC 2,,,"1..3=F + 3 NF"
152 (H),07:59,51,W Snr 1X,heat,2,,,AKLC 1,AWGC 1,PORC 1,NSHC 1,HKIC 1,,,"1..3=F + 3 NF"
153 (I),08:03,52,W Clb 4-,prelim,1,NSHC 2,WKOC 1,STAC 1,MERC 1,BPCC 1,NSHC 1,HAMC 1,STAC 2,WELC 1,""
154 (J),08:07,53,W Clb 4+,heat,1,WKDS 3,SKEC 1,AKLC 32,WANC 2,EGGS 1,HAMC 1,CAMC 21,HAMG 2,,"1..3=F + 3 NF"
155 (K),08:11,53,W Clb 4+,heat,2,AKLC 33,GISC 1,WKDS 1,WKDS 2,WANC 1,AKLC 31,HAMG 1,EGGS 2,,"1..3=F + 3 NF"
156 (L),08:15,54,M Clb 2-,heat,1,,KICC 1,NSHC 2,HWBC 2,HAMC 1,NSHC 5,PETC 1,STAC 2,,"1=FA; + 5 NF; NF 9=FB; etc"
157 (M),08:19,54,M Clb 2-,heat,2,,PETC 2,STAC 1,WESC 1,NSHC 3,AWGC 1,SKEC 2,SJHM 2,,"1=FA; + 5 NF; NF 9=FB; etc"
158 (N),08:23,54,M Clb 2-,heat,3,,STAC 3,SKEC 1,NSHC 4,AKLC 1,WKOC 1,SJHM 1,CAMC 21,,"1=FA; + 5 NF; NF 9=FB; etc"
159 (O),08:27,54,M Clb 2-,heat,4,,CAMC 22,HWBC 1,TGBC 1,NSHC 1,WREC 1,STAC 4,TGBC 2,,"1=FA; + 5 NF; NF 9=FB; etc"
160 (P),08:31,55,W Int 1X,heat,1,UNWC 2,HWBC 3,WREC 3,HKIC 2,TGAC 1,WELC 1,HAMC 2,CAMC 21,,"1=FA; + 3 NF; NF 9=FB; etc"
161 (Q),08:35,55,W Int 1X,heat,2,SPCC 2,MERC 1,ROTC 1,WHAC 1,HAMG 1,HWBC 2,CAMC 1,GISC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
162 (R),08:39,55,W Int 1X,heat,3,,GISC 3,AWGC 2,WESC 1,CAMC 2,UNWC 1,SPCC 1,NSHC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
163 (S),08:43,55,W Int 1X,heat,4,ROTC 3,WELC 4,BPCC 1,HWBC 1,WREC 1,HKIC 1,,STAC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
164 (T),08:47,55,W Int 1X,heat,5,BPCC 2,CAMC 11,HKIC 3,WREC 2,WKOC 1,PORC 2,HAMC 3,WHAC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
165 (U),08:51,55,W Int 1X,heat,6,WREC 5,PORC 1,WKDS 1,ROTC 2,HAMC 1,WREC 4,HKIC 4,,,"1=FA; + 3 NF; NF 9=FB; etc"
166 (V),08:56,56E,W #2 Nov 4X+,heat,1,CAMC 21,AKLC 32,NSHC 1,BPCC 1,AWGC 1,,,,,"1=FA + 3 NF; NF 6=FB"
167 (W),09:01,56E,W #2 Nov 4X+,heat,2,HWBC 1,COMC 1,SKEC 1,HAMC 1,AKLC 31,,,,,"1=FA + 3 NF; NF 6=FB"
168 (X),09:06,56E,W #2 Nov 4X+,heat,3,AKLC 33,HWBC 2,MERC 1,,HAMG 1,,,,,"1=FA + 3 NF; NF 6=FB"
169 (Y),09:11,57,W Nov 4X+,heat,1,WELC 1,ROTC 1,SKEC 1,AWGC 1,HAMC 2,UNWC 1,,,,"Fastest 8 to Each F"
170 (Z),09:16,57,W Nov 4X+,heat,2,CLIC 2,WREC 1,HAMC 1,WESC 1,CAMC 2,WKDS 1,,,,"Fastest 8 to Each F"
171 (A),09:21,57,W Nov 4X+,heat,3,,BPCC 2,TGAC 1,NSHC 1,WREC 2,EGGS 1,,,,"Fastest 8 to Each F"
172 (B),09:26,57,W Nov 4X+,heat,4,,HAMC 4,CAMC 1,HAMG 1,CLIC 1,PETC 2,,,,"Fastest 8 to Each F"
173 (C),09:31,57,W Nov 4X+,heat,5,,UNWC 2,PETC 1,STAC 1,ROT* 2,HAMC 3,,,,"Fastest 8 to Each F"
174 (D),09:36,57,W Nov 4X+,heat,6,,WEL* 2,CAMC 11,AKLC 31,MERC 1,HWBC 1,,,,"Fastest 8 to Each F"
175 (E),09:40,58,M Int 1X,heat,1,TAWC 2,STAC 4,SJHM 1,AWGC 4,TGBC 1,HKIC 1,HWBC 3,SKEC 1,HAMC 3,"1=FA; + 3 NF; NF 9=FB; etc"
176 (F),09:44,58,M Int 1X,heat,2,UNWC 2,AWGC 3,TGBC 2,WREC 2,HAMC 1,BPCC 2,SGEC 1,PORC 1,GISC 3,"1=FA; + 3 NF; NF 9=FB; etc"
177 (G),09:48,58,M Int 1X,heat,3,TGAC 3,HWBC 1,MERC 1,HAMC 2,,WREC 1,CAMC 2,WANC 1,HKIC 2,"1=FA; + 3 NF; NF 9=FB; etc"
178 (H),09:52,58,M Int 1X,heat,4,HWBC 2,TGSC 1,CAMC 11,GISC 2,TAWC 1,AWGC 2,STAC 1,BPCC 1,TGAC 4,"1=FA; + 3 NF; NF 9=FB; etc"
179 (I),09:56,58,M Int 1X,heat,5,PORC 2,SJHM 2,,BPCC 3,CAMC 21,STAC 2,KICC 1,SPCC 2,HWBC 4,"1=FA; + 3 NF; NF 9=FB; etc"
180 (J),10:00,58,M Int 1X,heat,6,STAC 3,UNWC 1,CAMC 1,SPCC 1,AWGC 1,GISC 1,TGAC 2,WESC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
181 (K),10:05,59,M Nov 2X,heat,1,AKGC 1,WESC 1,CAMC 11,HKIC 1,HWBC 1,MERC 2,CLIC 2,TGAC 2,,"Fastest 8 to Each F"
182 (L),10:10,59,M Nov 2X,heat,2,PORC 2,AWGC 3,UNWC 2,STAC 3,SPCC 1,NSHC 2,BPCC 2,HAMC 3,,"Fastest 8 to Each F"
183 (M),10:15,59,M Nov 2X,heat,3,SKEC 2,KICC 1,BPCC 3,TGAC 1,CLIC 1,UNWC 1,STAC 1,TGSC 1,,"Fastest 8 to Each F"
184 (N),10:20,59,M Nov 2X,heat,4,AKGC 2,WELC 1,STAC 2,CLIC 3,WHAC 1,HWBC 2,,NSHC 1,,"Fastest 8 to Each F"
185 (O),10:25,59,M Nov 2X,heat,5,STAC 4,BPCC 1,,MERC 1,SHAC 1,CAMC 21,HAMC 1,PORC 1,,"Fastest 8 to Each F"
186 (P),10:30,59,M Nov 2X,heat,6,CLIC 4,AWGC 1,HAMC 2,ROTC 1,CAMC 13,WHAC 2,HWBC 3,WANC 1,,"Fastest 8 to Each F"
187 (Q),10:35,60A,M Opn 8+,heat,1,,,NSHC 11,WKOC 1,WKO* 4,KICC 1,AKGC 2,,,"1..3=F + 3 NF"
188 (R),10:39,60A,M Opn 8+,heat,2,,NSHC 2,SGE* 1,WKO* 3,NSHC 1,AKGC 1,KICC 2,,,"1..3=F + 3 NF"
189 (S),10:43,60B,Mx Opn 8+,prelim,1, - - CANCELLED - -,,,,,,,,,""
189 (S),10:43,60C,W Opn 8+,prelim,1,,,,WKOC 5,WKO* 6,WKDS 1,WKDS 2,WKO* 2,NSHC 3,""
190 (T),11:10,1C,Opn 2X (P) [1000m],final,A,TGSC 1,PETC 1,CAMC 1,,,,,,,""

DAY 3: Sunday 25th January 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
283 (L),07:00,41C,Opn 1X (P) [1000m],final,A, - - CANCELLED - -,,,,,,,,,""
192 (B),07:02,1,W Clb 2X,final,A,HWBC 1,AWGC 1,SPCC 1,COMC 1,STAC 3,WKOC 1,STAC 1,WESC 1,TGAC 1,"medals"
193 (C),07:08,2,M Clb 2X,final,A,SPCC 1,AWGC 2,WKOC 1,AWGC 1,CLIC 2,WESC 1,HKIC 1,TGBC 1,HAMC 1,"medals"
194 (D),07:14,3,W Int 4+,final,A,HAMC 1,WKDS 1,WKDS 2,CAMC 21,WANC 1,AKLC 31,HAMG 2,BPCC 1,AKLC 32,"medals"
195 (E),07:20,4,W Nov 2X,final,A,TGAC 1,SGEC 11,HAMC 1,WESC 1,NSHC 1,HWBC 1,SKEC 1,WREC 2,,"medals"
196 (F),07:26,5E,M #2 Int 4X+,final,A,STAC 2,SKEC 1,HWBC 1,TGBC 1,SPCC 1,SPCC 2,KICC 1,WANC 1,SKEC 2,"medals"
197 (G),07:32,6,M Int 4X+,final,A,SKEC 2,SHAC 1,TGSC 1,SPCC 1,HWBC 1,AWGC 1,KICC 1,SPCC 2,TGBC 1,"medals"
198 (H),07:38,7,M Nov 8+,final,A,STAC 1,HWBC 1,AKGC 1,CLIC 1,KICC 1,KICC 2,TGBC 1,AKGC 2,CAMC 21,"medals"
199 (I),07:44,8,M Prm 1X,final,A,CLIC 1,RNZX 3,WKOC 1,RNZX 2,WKOC 2,RNZX 1,RPHN 2,RNZX 5,NSHC 1,"medals"
200 (J),07:50,9,W Prm 1X,final,A,WESC 1,WKOC 2,RNZX 4,RNZX 1,RNZX 5,WKOC 6,RNZX 3,WKOC 1,WKOC 4,"medals"
201 (K),07:56,10,M Snr 2-,final,A,WESC 1,WKOC 2,AKLC 1,NSHC 2,NSHC 1,WKOC 3,WESC 2,WKOC 1,WKOC 4,"medals"
202 (L),08:00,12,W Clb 8+,final,B,,COMC 1,CAMC 21,,STAC 1,EGGS 2,,,,""
203 (M),08:04,12,W Clb 8+,final,A,AKLC 32,NSHC 1,EGGS 1,AKLC 31,HAMC 1,WKOC 1,WKDS 1,SKEC 1,HAMG 1,"medals"
204 (N),08:10,13,W Int 2X,final,A,WANC 1,TGAC 1,HWBC 1,TGSC 1,CLIC 1,WESC 1,COMC 1,WREC 2,CAMC 21,"medals"
205 (O),08:16,14E,W #2 Nov 4+,final,A,AKLC 33,HAMG 1,AKLC 32,WKDS 1,WKDS 2,NSHC 1,PETC 1,AKLC 34,,"medals"
206 (P),08:22,15,W Nov 4+,final,A,CAMC 21,WESC 1,AKLC 31,WKDS 1,NSHC 1,HAMC 1,EGGS 1,HWBC 1,,"medals"
207 (Q),08:28,16,M Clb 4-,final,A,WKOC 2,WKOC 1,HWBC 1,NSHC 1,STAC 1,AKLC 1,GISC 1,NSHC 2,AKLC 2,"medals"
208 (R),08:34,17,M Clb 4+,final,A,SKEC 2,,KICC 3,SJHM 1,KICC 1,AKGC 1,KICC 2,STAC 1,,"medals"
209 (S),08:38,18,M Int 8+,final,B,STAC 1,KICC 3,AKGC 2,SPCC 1,SKEC 1,,WANC 1,,,""
210 (T),08:42,18,M Int 8+,final,A,MERC 1,SKEC 2,AKGC 3,KICC 1,SHAC 1,AKGC 1,KICC 2,HWBC 1,,"medals"
211 (U),08:48,19,M Prm 2-,final,A,NSHC 2,WKOC 1,RNZX 3,RNZX 1,RNZX 2,RPHN 1,WKOC 2,AKLC 1,,"medals"
212 (V),08:54,21,M Snr 2X,final,A,NSHC 1,SHAC 11,TGAC 1,CLIC 1,SGEC 1,SPCC 1,AWGC 1,WKOC 2,WKOC 3,"medals"
213 (W),08:58,23,W Int 8X+,final,B,GIS* 1,TGSC 2,SKEC 2,CAMC 21,WKDS 1,SKEC 1,CAMC 11,,,""
214 (X),09:02,23,W Int 8X+,final,A,MERC 1,BPCC 1,AKLC 31,HAMC 1,WREC 1,AWGC 1,CLIC 1,TGSC 1,,"medals"
215 (Y),09:08,24E,M #2 Nov 4X+,final,A,STAC 1,HWBC 1,CAMC 1,SKEC 1,AWGC 1,AKGC 1,KICC 1,SPCC 1,,"medals"
216 (Z),09:14,25,M Nov 4X+,final,A,AWGC 1,CAMC 21,CLIC 1,TGAC 1,AKGC 1,WHAC 1,SKEC 1,HWBC 1,,"medals"
217 (A),09:20,26,W Clb 4X-,final,A,WKO* 1,ROTC 1,AWGC 1,HAMC 1,WESC 1,COMC 1,TAWC 1,BPCC 1,STAC 1,"medals"
218 (B),09:26,27,W Clb 4X+,final,A,AKLC 31,CAMC 12,SPCC 1,AKLC 32,CAMC 11,BPCC 1,KICC 1,GISC 1,SKEC 1,"medals"
219 (C),09:32,28,M Clb 1X,final,A,CLIC 2,PORC 1,AKLC 1,HKIC 1,HAMC 1,TAWC 2,WKOC 1,GISC 1,SGEC 3,"medals"
220 (D),09:38,29,M Int 2X,final,A,TGBC 1,HAMC 1,SHAC 11,BPCC 1,WKOC 1,GISC 1,WANC 1,TAWC 1,AWGC 1,"medals"
221 (E),09:43,31,W Nov 8X+,final,B,,BPCC 1,CAMC 21,CAMC 22,,HAMC 1,,,,""
222 (F),09:48,31,W Nov 8X+,final,A,HWBC 1,UNWC 1,AKLC 32,SKEC 1,AWGC 1,AKLC 31,WKDS 1,COMC 2,,"medals"
223 (G),09:52,32,W Int 8+,final,B,EGGS 3,HAMC 1,SKEC 1,STAC 1,WREC 1,CAMC 11,CAMC 22,WEL* 1,,""
224 (H),09:56,32,W Int 8+,final,A,MERC 1,COMC 1,WKDS 1,AKLC 31,CAMC 21,KIC* 1,EGGS 2,EGGS 1,PORC 1,"medals"
225 (I),10:02,34,W Clb 2-,final,A,WKDS 2,AKLC 31,WANC 1,EGGS 1,HAMC 1,WKOC 1,MERC 1,SKEC 1,NSHC 3,"medals"
226 (J),10:06,35,M Clb 8+,final,B,,,AKGC 3,,PETC 1,,,,,""
227 (K),10:10,35,M Clb 8+,final,A,KICC 1,NSHC 1,AKGC 2,SGE* 1,WKOC 1,HWBC 1,SJHM 1,SKEC 1,AKLC 1,"medals"
228 (L),10:16,37,M Nov 4+,final,A,SPCC 1,AKGC 1,TGBC 1,KICC 1,SJHM 1,KICC 2,WELC 1,CAMC 21,,"medals"
229 (M),10:20,39,M Int 8X+,final,B,,WANC 1,KICC 1,CAMC 21,HKIC 1,STAC 1,TGSC 1,,,""
230 (N),10:24,39,M Int 8X+,final,A,SHAC 1,BPCC 1,SKEC 2,SPCC 1,TGBC 1,HAMC 1,SKEC 1,WHAC 1,,"medals"
231 (O),10:29,40,W Nov 8+,final,B,CLIC 1,WRE* 1,HAMG 1,WKDS 2,PETC 1,CAMC 22,HAMC 1,COMC 2,,""
232 (P),10:34,40,W Nov 8+,final,A,COMC 1,EGGS 1,CAMC 21,NSHC 1,WKDS 1,AKLC 31,HWBC 1,AKLC 32,,"medals"
233 (Q),10:38,42,W Clb 1X,final,A,BPCC 1,WREC 2,HWBC 1,WKOC 2,CAMC 11,WKOC 1,KICC 1,WESC 1,ROTC 2,"medals"
234 (R),10:42,43,M Clb 4X-,final,A,SHAC 1,CLIC 1,HWBC 1,SGE* 1,WKOC 1,AWGC 1,WESC 1,STAC 1,WREC 1,"medals"
235 (S),10:46,44,M Clb 4X+,final,A,HKIC 1,CAMC 22,WANC 2,AWGC 1,CAMC 21,WANC 1,TGBC 1,SPCC 1,KICC 1,"medals"
236 (T),10:50,45E,W #2 Int 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
237 (U),10:54,46,W Int 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
238 (V),10:58,48,M Int 4+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
239 (W),11:03,49,M Nov 8X+,final,B, - - CANCELLED - -,,,,,,,,,""
240 (X),11:08,49,M Nov 8X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
241 (Y),11:14,50,M Snr 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
242 (Z),11:20,51,W Snr 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
243 (A),11:26,53,W Clb 4+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
244 (B),11:32,54,M Clb 2-,final,A, - - CANCELLED - -,,,,,,,,,"medals"
245 (C),11:38,55,W Int 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
246 (D),11:44,56E,W #2 Nov 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
247 (E),11:50,57,W Nov 4X+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
248 (F),11:56,58,M Int 1X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
249 (G),12:02,59,M Nov 2X,final,A, - - CANCELLED - -,,,,,,,,,"medals"
250 (H),12:08,60A,M Opn 8+,final,B, - - REMOVED - -,,,,,,,,,""
251 (I),12:14,60A,M Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,"medals"
252 (J),12:20,11,W Snr 2-,final,A, - - CANCELLED - -,,,,,,,,,""
253 (K),12:26,20,W Prm 2-,final,A, - - CANCELLED - -,,,,,,,,,""
254 (L),12:32,22,W Snr 2X,final,A, - - CANCELLED - -,,,,,,,,,""
255 (M),12:44,30A,M Prm 2X,final,A, - - CANCELLED - -,,,,,,,,,""
255 (M),12:44,30B,W Prm 2X,final,A, - - CANCELLED - -,,,,,,,,,""
256 (N),12:50,33A,M Snr 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
257 (O),13:02,33B,Mx Opn 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
257 (O),13:02,33C,W Snr 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
258 (P),13:08,36E,M #2 Nov 4+,final,A, - - CANCELLED - -,,,,,,,,,""
259 (Q),13:14,38A,M Prm 4-,final,A, - - CANCELLED - -,,,,,,,,,""
259 (Q),13:14,38B,W Prm 4-,final,A, - - CANCELLED - -,,,,,,,,,""
260 (R),13:20,41A,M Snr 4-,final,A, - - CANCELLED - -,,,,,,,,,"medals"
261 (S),13:32,41B,W Snr 4-,final,A, - - CANCELLED - -,,,,,,,,,""
262 (T),13:38,47A,M Prm 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
262 (T),13:38,47B,W Prm 4X-,final,A, - - CANCELLED - -,,,,,,,,,""
263 (U),14:02,52,W Clb 4-,final,A, - - CANCELLED - -,,,,,,,,,""
264 (V),14:32,60B,Mx Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,""
264 (V),14:32,60C,W Opn 8+,final,A, - - CANCELLED - -,,,,,,,,,""
266 (W),15:00,1,W Clb 2X,final,D, - - CANCELLED - -,,,,,,,,,""
267 (X),15:06,1,W Clb 2X,final,C, - - CANCELLED - -,,,,,,,,,""
268 (Y),15:12,1,W Clb 2X,final,B, - - CANCELLED - -,,,,,,,,,""
269 (Z),15:18,2,M Clb 2X,final,D, - - CANCELLED - -,,,,,,,,,""
270 (A),15:24,2,M Clb 2X,final,C, - - CANCELLED - -,,,,,,,,,""
271 (B),15:30,2,M Clb 2X,final,B, - - CANCELLED - -,,,,,,,,,""
272 (C),15:36,3,W Int 4+,final,C, - - CANCELLED - -,,,,,,,,,""
273 (D),15:42,3,W Int 4+,final,B, - - CANCELLED - -,,,,,,,,,""
274 (E),15:48,4,W Nov 2X,final,C, - - CANCELLED - -,,,,,,,,,""
275 (F),15:54,4,W Nov 2X,final,B, - - CANCELLED - -,,,,,,,,,""
276 (G),16:00,5E,M #2 Int 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
278 (I),16:12,6,M Int 4X+,final,C, - - CANCELLED - -,,,,,,,,,""
279 (J),16:18,6,M Int 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
281 (L),16:30,8,M Prm 1X,final,B, - - CANCELLED - -,,,,,,,,,""
282 (M),16:36,9,W Prm 1X,final,B, - - CANCELLED - -,,,,,,,,,""
283 (N),16:42,13,W Int 2X,final,D, - - CANCELLED - -,,,,,,,,,""
284 (O),16:48,13,W Int 2X,final,C, - - CANCELLED - -,,,,,,,,,""
285 (P),16:54,13,W Int 2X,final,B, - - CANCELLED - -,,,,,,,,,""
286 (Q),17:00,15,W Nov 4+,final,B, - - CANCELLED - -,,,,,,,,,""
287 (R),17:06,25,M Nov 4X+,final,C, - - CANCELLED - -,,,,,,,,,""
288 (S),17:12,25,M Nov 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
289 (T),17:18,27,W Clb 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
290 (U),17:24,28,M Clb 1X,final,D, - - CANCELLED - -,,,,,,,,,""
291 (V),17:30,28,M Clb 1X,final,C, - - CANCELLED - -,,,,,,,,,""
292 (W),17:36,28,M Clb 1X,final,B, - - CANCELLED - -,,,,,,,,,""
293 (X),17:42,29,M Int 2X,final,D, - - CANCELLED - -,,,,,,,,,""
294 (Y),17:48,29,M Int 2X,final,C, - - CANCELLED - -,,,,,,,,,""
295 (Z),17:54,29,M Int 2X,final,B, - - CANCELLED - -,,,,,,,,,""
296 (A),18:00,34,W Clb 2-,final,B, - - CANCELLED - -,,,,,,,,,""
297 (B),18:06,37,M Nov 4+,final,B, - - CANCELLED - -,,,,,,,,,""
298 (C),18:12,42,W Clb 1X,final,D, - - CANCELLED - -,,,,,,,,,""
299 (D),18:18,42,W Clb 1X,final,C, - - CANCELLED - -,,,,,,,,,""
300 (E),18:24,42,W Clb 1X,final,B, - - CANCELLED - -,,,,,,,,,""
301 (F),18:30,44,M Clb 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
302 (G),18:36,45E,W #2 Int 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
303 (H),18:42,46,W Int 4X+,final,D, - - CANCELLED - -,,,,,,,,,""
304 (I),18:48,46,W Int 4X+,final,C, - - CANCELLED - -,,,,,,,,,""
305 (J),18:54,46,W Int 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
306 (K),19:00,48,M Int 4+,final,B, - - CANCELLED - -,,,,,,,,,""
307 (L),19:06,50,M Snr 1X,final,B, - - CANCELLED - -,,,,,,,,,""
308 (M),19:12,54,M Clb 2-,final,C, - - CANCELLED - -,,,,,,,,,""
309 (N),19:18,54,M Clb 2-,final,B, - - CANCELLED - -,,,,,,,,,""
310 (O),19:24,55,W Int 1X,final,D, - - CANCELLED - -,,,,,,,,,""
311 (P),19:30,55,W Int 1X,final,C, - - CANCELLED - -,,,,,,,,,""
312 (Q),19:36,55,W Int 1X,final,B, - - CANCELLED - -,,,,,,,,,""
313 (R),19:42,56E,W #2 Nov 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
314 (S),19:48,57,W Nov 4X+,final,C, - - CANCELLED - -,,,,,,,,,""
315 (T),19:54,57,W Nov 4X+,final,B, - - CANCELLED - -,,,,,,,,,""
316 (U),20:00,58,M Int 1X,final,D, - - CANCELLED - -,,,,,,,,,""
317 (V),20:06,58,M Int 1X,final,C, - - CANCELLED - -,,,,,,,,,""
318 (W),20:12,58,M Int 1X,final,B, - - CANCELLED - -,,,,,,,,,""
319 (X),20:18,59,M Nov 2X,final,D, - - CANCELLED - -,,,,,,,,,""
320 (Y),20:24,59,M Nov 2X,final,C, - - CANCELLED - -,,,,,,,,,""
321 (Z),20:30,59,M Nov 2X,final,B, - - CANCELLED - -,,,,,,,,,""
