"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Monday 23rd March 2026
155 (J),10:55,39,G U17 2-,heat,3,RRGS 4,WTKG 1,STPC 2,WTLG 1,ASHB 1,AOTE 1,PUKE 1,,,"1=FA; 2-5=R"
156 (K),11:00,39,G U17 2-,heat,4,,ACGT 1,QMAR 1,STAN 1,CASH 1,STKT 2,RRGS 2,,,"1=FA; 2-5=R"
157 (L),11:05,40,B U17 2-,heat,1,TIMB 3,CASH 1,GBHS 2,TRGB 1,STAN 1,KGCA 2,SHIR 1,,,"1=FA; 2-5=R"
158 (M),11:10,40,B U17 2-,heat,2,STAN 3,PUKE 1,OTUM 1,GBHS 1,MTAL 1,STCC 1,CASH 2,,,"1=FA; 2-5=R"
159 (N),11:15,40,B U17 2-,heat,3,,CHCO 1,HAMB 2,WTLB 1,GLDW 1,KGCA 1,TIMB 2,,,"1=FA; 2-5=R"
160 (O),11:20,40,B U17 2-,heat,4,,STBD 1,WTKB 1,HAMB 1,TIMB 1,CHCO 2,STAN 2,,,"1=FA; 2-5=R"
161 (P),11:25,41,G U18 4X+,heat,1,WAKA 2,SHGN 1,KGCA 1,CAMB 1,CASH 1,GLDW 1,VILL 2,,,"1,2=FA; Rest=R"
162 (Q),11:30,41,G U18 4X+,heat,2,BURN 1,WAKA 1,COLU 1,SPLH 1,OGHS 1,HLCR 1,STCU 1,,,"1,2=FA; Rest=R"
163 (R),11:35,41,G U18 4X+,heat,3,WHGG 1,WTLG 1,MTAL 1,DIOC 1,VILL 1,CRAI 1,NCOG 1,,,"1,2=FA; Rest=R"
164 (S),11:40,42,B U18 2X,heat,1,BURN 1,HLCR 1,GBHS 1,NPLB 1,SPTW 1,TRGB 1,WLCO 1,STBD 1,,"1-2=S; Last Elim; Rest=R"
165 (T),11:45,42,B U18 2X,heat,2,JPCR 1,NELB 1,STCC 1,HAUR 1,MLBB 1,WNCS 1,NAPB 1,,,"1-2=S; Last Elim; Rest=R"
166 (U),11:50,42,B U18 2X,heat,3,WAKA 1,STPC 1,HAUR 2,SPLH 2,NGAR 1,SJHM 1,AOTE 1,AGSB 1,,"1-2=S; Last Elim; Rest=R"
167 (V),11:55,42,B U18 2X,heat,4,GLDW 1,CBHS 1,,SPLH 1,FRAN 1,MTAL 1,TAUH 1,,,"1-2=S; Last Elim; Rest=R"
168 (W),12:00,42,B U18 2X,heat,5,TAKA 1,WENT 1,SHIR 1,SHAK 1,WNHS 1,TAUP 1,HAMB 1,,,"1-2=S; Last Elim; Rest=R"
169 (X),12:05,43,G U15 8+,heat,1,,WTLG 1,DIOC 1,WKDS 1,RRGS 1,STMG 2,,,,"1=FA; 2-5=R"
170 (Y),12:10,43,G U15 8+,heat,2,,EGGS 1,CGHS 1,STPC 1,STMG 1,BARA 1,,,,"1=FA; 2-5=R"
171 (Z),12:15,44,B U15 4+,heat,1,KGCA 2,WTLB 3,CBHS 4,CBHS 1,STCC 1,HAUR 1,MTAL 1,,,"1,2=FA; 3-7=R"
172 (A),12:20,44,B U15 4+,heat,2,ASHB 1,TIMB 1,WTLB 1,MLBB 1,CBHS 2,SJHM 1,HAMB 2,,,"1,2=FA; 3-7=R"
173 (B),12:25,44,B U15 4+,heat,3,CBHS 3,SHAK 1,HAMB 1,STBD 1,KGCA 1,STCC 2,WTLB 2,,,"1,2=FA; 3-7=R"
174 (C),12:30,45,G U17 2X,heat,1,STOR 1,ROTG 1,GGHS 1,WEGC 1,TAKA 1,WENT 1,MTAS 1,GGHS 2,,"1-4=Q F; Rest Elim"
175 (D),12:35,45,G U17 2X,heat,2,ACGT 2,STCA 1,IONA 1,BURN 1,QMAR 1,STAN 1,TAKA 2,WEGC 2,,"1-4=Q F; Rest Elim"
176 (E),12:40,45,G U17 2X,heat,3,COLU 1,AQUI 1,MARN 1,HAUR 1,ACGT 1,WKDS 1,HOWI 1,TIMG 1,,"1-4=Q F; Rest Elim"
177 (F),12:45,45,G U17 2X,heat,4,MLBG 2,WTKG 1,WNCS 1,DUNS 1,WAKA 1,SPLH 1,VILL 1,JPCR 1,,"1-4=Q F; Rest Elim"
178 (G),12:50,45,G U17 2X,heat,5,CASH 1,SLDG 1,OGHS 1,CAMB 1,WNHS 1,JHAR 1,RONC 1,MLBG 1,,"1-4=Q F; Rest Elim"
179 (H),12:55,45,G U17 2X,heat,6,STHI 1,VILL 2,AVSG 1,MTAL 1,NCOG 1,WHGG 1,CAMB 2,MARN 2,,"1-4=Q F; Rest Elim"
180 (I),13:00,45,G U17 2X,heat,7,HLCR 1,ROTL 1,BURN 2,CRAI 1,HUAN 1,SCOT 1,HAMG 1,QHSD 1,,"1-4=Q F; Rest Elim"
181 (J),13:05,46,B U17 4X+,heat,1,HOWI 1,ONSL 1,WAKA 2,WNHS 1,WNCS 1,STAN 1,KHSD 1,,,"1,2=S; 3-5=R"
182 (K),13:10,46,B U17 4X+,heat,2,ROTO 1,TAKA 1,STBD 1,TIMB 1,SPLH 1,WHAK 1,AQUI 1,,,"1,2=S; 3-5=R"
183 (L),13:15,46,B U17 4X+,heat,3,TAKA 2,GLDW 1,STKT 1,WAKA 1,SHAK 1,JMCG 1,RAHS 1,,,"1,2=S; 3-5=R"
184 (M),13:20,46,B U17 4X+,heat,4,,WLCO 2,SPLH 2,SHIR 1,STPC 1,WLCO 1,WNCS 2,,,"1,2=S; 3-5=R"
185 (N),13:25,46,B U17 4X+,heat,5,,GBHS 1,MLBB 1,OBHS 1,STCC 1,WHAK 2,SHIR 2,,,"1,2=S; 3-5=R"
186 (O),13:30,47,G N18 4+,heat,1,SHGH 2,OTUM 1,EGGS 2,RRGS 1,CGHS 1,GERA 1,DIOC 1,MLBG 1,,"1,2=FA; 3-7=R"
187 (P),13:35,47,G N18 4+,heat,2,CRAI 1,ASHB 1,EGGS 1,WTKG 1,RRGS 2,NCOG 1,CGHS 3,BTHC 1,,"1,2=FA; 3-7=R"
188 (Q),13:40,47,G N18 4+,heat,3,RRGS 3,WTKG 2,SHGH 1,WKDS 1,CGHS 2,WNHS 1,STPC 1,NPLG 1,,"1,2=FA; 3-7=R"
189 (R),13:45,48,B N18 4X+,heat,1,STPA 1,CHCO 1,MLBB 1,STBD 1,STPC 1,SLDB 1,JMCG 2,,,"1,2=S; 3-5=R"
190 (S),13:50,48,B N18 4X+,heat,2,KGCA 1,SHAK 1,TRGB 1,MTAS 1,SCOT 1,SPTW 1,STPC 2,,,"1,2=S; 3-5=R"
191 (T),13:55,48,B N18 4X+,heat,3,KHSD 1,WAKA 1,STKT 1,TIMB 1,DUNS 1,BTHC 1,STPA 2,,,"1,2=S; 3-5=R"
192 (U),14:00,48,B N18 4X+,heat,4,,STBD 2,WAKA 2,WNHS 1,AGSB 1,STKT 2,TRGB 2,,,"1,2=S; 3-5=R"
193 (V),14:05,48,B N18 4X+,heat,5,,JMCG 1,SPLH 1,FRAN 1,PAPA 1,BURN 1,AGSB 2,,,"1,2=S; 3-5=R"
194 (W),14:10,49,G U16 2X,heat,1,VILL 1,HLCR 1,TALC 1,COLU 1,HOWI 1,WNHS 1,GGHS 1,NAPG 1,,"1-5=Q F; Rest Elim"
195 (X),14:15,49,G U16 2X,heat,2,JPCR 1,TIMG 1,WNHS 2,WHGG 1,JHAR 1,AVSG 1,GERA 1,WENT 1,,"1-5=Q F; Rest Elim"
196 (Y),14:20,49,G U16 2X,heat,3,RONC 1,BARA 1,WLGC 1,CASH 1,STMW 1,NCOG 1,SHGN 1,STIL 1,,"1-5=Q F; Rest Elim"
197 (Z),14:25,49,G U16 2X,heat,4,ROTG 1,HAMG 1,TAKA 1,BURN 1,MTAL 1,DUNS 1,DIOC 1,SHGH 1,,"1-5=Q F; Rest Elim"
198 (A),14:30,49,G U16 2X,heat,5,CGHS 1,MLBG 1,STHI 1,STPC 1,CAMB 1,GARI 1,BTHC 1,,,"1-5=Q F; Rest Elim"
199 (B),14:35,49,G U16 2X,heat,6,HUAN 1,TRGG 1,CRAI 1,WAKA 1,MARN 1,WTLG 1,HLMT 1,SAMU 1,,"1-5=Q F; Rest Elim"
200 (C),14:40,50,B U16 1X,heat,1,MLBB 1,STPC 1,WHGB 1,STLN 1,PARN 1,SCOT 1,AQUI 1,PUKE 1,,"1=FA; 2-5=R"
201 (D),14:45,50,B U16 1X,heat,2,STPA 1,TIMB 1,BURN 1,WNHS 1,TAUP 1,TAUH 1,HLMT 1,WNCS 1,,"1=FA; 2-5=R"
202 (E),14:50,50,B U16 1X,heat,3,WAKA 1,GBHS 1,BTHC 1,CASH 1,JMCG 1,CAMB 1,BURN 2,ONSL 1,,"1=FA; 2-5=R"
203 (F),14:55,50,B U16 1X,heat,4,HAUR 1,SPTW 1,TEAW 1,WLCO 1,MACL 1,TRGB 1,TAKA 1,NELB 1,,"1=FA; 2-5=R"
204 (G),15:00,51,G U18 8+,heat,1,SHGH 1,BARA 1,WKDS 1,RRGS 1,STAN 1,DIOC 1,RRGS 3,STMG 2,,"1=FA; 2-8=R"
205 (H),15:05,51,G U18 8+,heat,2,BARA 2,RRGS 2,WNCS 1,STMG 1,CGHS 1,EGGS 1,WKDS 2,VILL 1,,"1=FA; 2-8=R"
206 (I),15:10,52,B U18 8+,heat,1,CHCO 2,CBHS 1,WTLB 1,KGCA 1,HAMB 1,STPA 1,AGSB 2,CHCO 3,,"1=FA; 2-8=R"
207 (J),15:15,52,B U18 8+,heat,2,HAMB 2,WTLB 2,KGCA 2,AGSB 1,STBD 1,CHCO 1,STCC 1,TRGB 1,,"1=FA; 2-8=R"
208 (K),15:29,1,B U17 1X,quarter-final,1,WLCO 2,STCC 1,BURN 1,TIMB 1,WNHS 1,JMCG 1,WAKA 2,,,"1-4=S; 5,6=FC; 7=FD"
209 (L),15:33,1,B U17 1X,quarter-final,2,HAMB 1,ONSL 1,SHIR 1,MTAL 1,HAUR 1,STLN 1,,,,"1-4=S; 5,6=FC; 7=FD"
210 (M),15:37,1,B U17 1X,quarter-final,3,FRAN 2,WLCO 1,ASHB 1,NAPB 1,NPLB 1,WENT 1,CASH 1,,,"1-4=S; 5,6=FC; 7=FD"
211 (N),15:41,1,B U17 1X,quarter-final,4,BTHC 1,TAUP 3,PUKE 1,SPTW 1,FRAN 1,STKT 1,SHIR 2,,,"1-4=S; 5,6=FC; 7=FD"
212 (O),15:45,2,G U17 4+,repechage,1,WTLG 1,BARA 1,WKDS 2,DIOC 2,RRGS 2,HAMG 1,STMG 2,CAMB 1,,"1,2=FA; 3-6=FB"
213 (P),15:49,2,G U17 4+,repechage,2,CASH 1,WLGC 1,DIOC 1,STMG 1,RRGS 1,STKT 1,STAN 1,BARA 2,,"1,2=FA; 3-6=FB"
214 (Q),15:53,3,B U15 2X,repechage,1,WTKB 1,TIMB 1,GARI 1,TRGB 1,HAUR 1,WNHS 1,TAKA 1,KGCA 1,,"1,2=FA; 3-6=FB"
215 (R),15:57,3,B U15 2X,repechage,2,SPTW 1,MTAS 1,GLDW 1,WNCS 1,ONSL 1,HLMT 1,DUNS 1,SLDB 1,,"1,2=FA; 3-6=FB"
216 (S),16:01,4,G U15 4X+,repechage,1,WAKA 3,STPC 2,IONA 1,VILL 1,TRGG 1,STKT 1,TAKA 2,COLU 1,,"1-3=S; Rest Elim"
217 (T),16:05,4,G U15 4X+,repechage,2,GLDW 1,QHSD 1,WTKG 1,GERA 1,WNHS 1,STMW 1,MTAL 1,,,"1-3=S; Rest Elim"
218 (U),16:09,5,B U18 2-,repechage,1,AGSB 3,JPCR 1,CBHS 2,WLCO 1,CHCO 1,MTAL 1,NELB 1,,,"1-4=S; Rest=Elim"
219 (V),16:13,5,B U18 2-,repechage,2,WAKA 1,NGAR 1,SJHM 2,STCC 1,SJHM 1,GBHS 1,AOTE 1,,,"1-4=S; Rest=Elim"
220 (W),16:17,5,B U18 2-,repechage,3,STAN 1,WTKB 1,HASB 1,,CBHS 1,CHCO 2,SHIR 1,,,"1-4=S; Rest=Elim"
221 (X),16:21,6,G U18 2X,repechage,1,,STHI 1,VILL 2,STPC 1,KGCA 1,EGGS 1,SAMU 1,,,"1-4=Q; Rest=Elim"
222 (Y),16:25,6,G U18 2X,repechage,2,,SCOT 1,HOWI 1,GLDW 2,GLDW 1,WLGC 1,WTKG 1,,,"1-4=Q; Rest=Elim"
223 (Z),16:29,7,B U16 4X+,repechage,1,STAN 1,STKT 1,SHIR 1,KGCA 1,STPA 1,STKT 2,RAHS 1,AGSB 1,,"1,2=FA; 3-6=FB"
224 (A),16:33,7,B U16 4X+,repechage,2,STBD 1,HAMB 1,WAKA 2,WLCO 1,SPLH 1,MTAL 1,STBD 2,STPC 1,,"1,2=FA; 3-6=FB"
225 (B),16:37,8,G U16 1X,repechage,1,BTHC 1,POMP 1,HAMG 1,GARI 1,MARN 1,NCOG 1,TALC 1,WENT 1,,"1-3=S; Rest Elim"
226 (C),16:41,8,G U16 1X,repechage,2,STMG 1,WNHS 1,JHAR 1,STHI 1,AOTE 1,SHGN 1,BURN 1,,,"1-3=S; Rest Elim"
227 (D),16:45,9,B N18 2X,repechage,1,KGCA 1,WHGB 1,STPC 1,WTKB 1,WLCO 1,DUNS 1,HUAN 1,SCOT 1,,"1-3=S; Rest Elim"
228 (E),16:49,9,B N18 2X,repechage,2,SLDB 1,GARI 1,BURN 1,TIMB 2,ASHB 1,BTHC 1,BTHC 2,,,"1-3=S; Rest Elim"
229 (F),16:53,10,G N18 8+,repechage,1,,DIOC 1,STPC 1,WKDS 1,CGHS 1,RRGS 2,STMG 2,,,"1-3=F;Rest=FB"
230 (G),16:57,10,G N18 8+,repechage,2,,CASH 1,STCU 1,WTKG 1,STMG 1,EGGS 1,,,,"1-3=F;Rest=FB"
231 (H),17:01,11,B U17 8+,repechage,1,,STCC 1,KGCA 1,CHCO 1,TIMB 1,WTLB 1,,,,"1-3=F;Rest=FB"
232 (I),17:05,11,B U17 8+,repechage,2,,CHCO 2,STAN 1,AGSB 1,STKT 1,HAMB 1,CHCO 3,,,"1-3=F;Rest=FB"
233 (J),17:09,13,B U15 8X+,repechage,2,,TRGB 1,AGSB 2,STPA 1,CHCO 1,STCC 1,JMCG 1,,,"1-3=F;Rest=FB"
234 (K),17:13,13,B U15 8X+,repechage,1,,HAMB 1,SHIR 1,STKT 1,STPC 1,MLBB 1,,,,"1-3=F;Rest=FB"
235 (L),17:17,12,G U17 4X+,repechage,1,WTLG 1,VILL 1,SPLH 1,HAMG 1,TAKA 1,CASH 1,DIOC 1,COLU 1,,"1-3=S; Rest Elim"
236 (M),17:21,12,G U17 4X+,repechage,2,WLGC 1,WAKA 1,STCU 1,WNHS 2,WNCS 1,HLCR 1,GGHS 1,,,"1-3=S; Rest Elim"
237 (N),17:25,30,B U18 1X,repechage,1,AGSB 1,STCC 1,JPCR 1,FRAN 1,WTKB 1,TEAW 1,OBHS 1,,,"1=Q; 2,3=FE"
238 (O),17:29,30,B U18 1X,repechage,2,ROTL 1,TIMB 1,,DARF 1,NGAR 1,SCOT 1,ASHB 1,,,"1=Q; 2,3=FE"
239 (P),17:33,30,B U18 1X,repechage,3,WTLB 1,TAUP 2,WNHS 2,CBHS 1,NAPB 1,MLBB 2,STBD 1,,,"1=Q; 2,3=FE"

DAY 3: Wednesday 25th March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
240 (A),08:00,6,G U18 2X,quarter-final,1,WTKG 1,COLU 1,HAUR 1,VILL 1,OGHS 1,WHGG 1,WLGC 2,VILL 2,,"1-4=S; 5,6=FC; Rest=FD"
241 (B),08:05,6,G U18 2X,quarter-final,2,KGCA 1,STCA 1,DIOC 1,STCU 1,WEGC 1,HLMT 1,JHAR 1,HOWI 1,,"1-4=S; 5,6=FC; Rest=FD"
242 (C),08:10,6,G U18 2X,quarter-final,3,GLDW 1,IONA 1,STKT 1,SPLH 1,CASH 1,WAKA 1,STLN 1,EGGS 1,,"1-4=S; 5,6=FC; Rest=FD"
243 (D),08:15,6,G U18 2X,quarter-final,4,STPC 1,SHGN 1,HLCR 1,QMAR 1,CRAI 1,DUNS 1,MTAL 1,GLDW 2,,"1-4=S; 5,6=FC; Rest=FD"
244 (E),08:20,14,G U15 4+,repechage,1,,WTLG 2,WTLG 1,WKDS 1,STMG 1,QMAR 1,,,,"1=FA; 2-5=FB"
245 (F),08:25,14,G U15 4+,repechage,2,,JHAR 1,QMAR 2,WTKG 1,CGHS 1,BARA 2,TRGG 1,,,"1=FA; 2-5=FB"
246 (G),08:30,15,B U18 4X+,repechage,1,STKT 1,SHIR 1,KGCA 1,STPC 1,WNCS 1,STPC 2,SHIR 2,SCOT 1,,"1-4=S; Rest=Elim"
247 (H),08:35,15,B U18 4X+,repechage,2,WLCO 1,SJHM 1,MLBB 1,WNHS 1,SPLH 2,WAKA 2,MTAL 1,BURN 1,,"1-4=S; Rest=Elim"
248 (I),08:40,15,B U18 4X+,repechage,3,AGSB 2,STCC 1,GBHS 1,TRGB 1,STPA 1,NELB 1,AGSB 1,TAKA 1,,"1-4=S; Rest=Elim"
249 (J),09:00,16,G U18 2-,repechage,1,MARN 1,,COLU 1,WTLG 1,STMG 1,DIOC 1,RRGS 2,,,"1-4=S; Rest=Elim"
250 (K),09:05,16,G U18 2-,repechage,2,GGHS 1,RRGS 3,SHGH 1,STAN 2,CGHS 1,STAN 1,PUKE 1,,,"1-4=S; Rest=Elim"
251 (L),09:10,16,G U18 2-,repechage,3,STMG 2,STAN 4,STKT 1,MLBG 1,WNCS 1,EGGS 2,,,,"1-4=S; Rest=Elim"
252 (M),09:15,17,B U16 4+,repechage,1,AGSB 2,KGCA 2,CHCO 1,STBD 1,TIMB 1,AGSB 1,OBHS 1,STPA 2,,"1,2=FA; 3-6=FB"
253 (N),09:19,17,B U16 4+,repechage,2,STKT 1,STAN 1,CBHS 3,STPA 1,CASH 1,HAMB 2,WAKA 1,STKT 2,,"1,2=FA; 3-6=FB"
254 (O),09:23,18,G U16 8+,repechage,1,OTUM 1,STAN 1,STPC 1,MLBG 1,QMAR 1,STMG 2,EGGS 1,BARA 1,,"1-4=F; Rest=FB"
255 (P),09:27,19,B N18 8+,repechage,1,JMCG 1,AGSB 2,CBHS 1,HAMB 1,SLDB 1,SPTW 1,HAMB 2,,,"1-3=F; Rest=FB"
256 (Q),09:31,19,B N18 8+,repechage,2,,TRGB 1,SHAK 1,AGSB 1,KGCA 1,CASH 1,STBD 2,,,"1-3=F; Rest=FB"
257 (R),09:35,20,G N18 2X,repechage,1,STHI 1,WAKA 1,NAPG 1,MLBG 1,BURN 1,ROTL 1,GARI 1,MARN 1,,"1-3=S; Rest Elim"
258 (S),09:39,20,G N18 2X,repechage,2,CRAI 1,AVSG 1,GLDW 2,RONC 1,DUNS 1,TIMG 1,STKV 1,,,"1-3=S; Rest Elim"
259 (T),09:43,21,B U17 2X,quarter-final,1,SPLH 2,NAPB 1,SPLH 1,NELB 1,FRAN 1,STCC 1,HOWI 1,AQUI 1,,"1-4=S; 5,6=FC; 7,8=FD"
260 (U),09:47,21,B U17 2X,quarter-final,2,OTUM 1,TAUP 1,WTKB 1,SHIR 1,WNCS 1,WLCO 1,SHAK 1,ONSL 1,,"1-4=S; 5,6=FC; 7,8=FD"
261 (V),09:51,21,B U17 2X,quarter-final,3,KHSD 1,SCOT 1,GLDW 1,GBHS 1,WNHS 1,TIMB 1,CASH 1,,,"1-4=S; 5,6=FC; 7,8=FD"
262 (W),09:55,21,B U17 2X,quarter-final,4,STBD 1,TRGB 1,OBHS 1,BURN 1,WHAK 1,JMCG 1,TIMB 2,,,"1-4=S; 5,6=FC; 7,8=FD"
263 (X),09:59,22,G U17 1X,quarter-final,1,WKDS 1,MARN 1,ROTG 1,STCU 1,ASHB 1,AVSG 1,QMAR 2,,,"1-4=S; 5,6=FC; 7=FD"
264 (Y),10:03,22,G U17 1X,quarter-final,2,BURN 2,WLGC 2,HUAN 2,ACGT 1,HUAN 1,HAUR 1,ROTL 1,,,"1-4=S; 5,6=FC; 7=FD"
265 (Z),10:07,22,G U17 1X,quarter-final,3,IONA 1,STOR 1,HAUR 2,DUNS 1,WENT 1,LINC 1,SPLH 1,,,"1-4=S; 5,6=FC; 7=FD"
266 (A),10:11,22,G U17 1X,quarter-final,4,CASH 1,SAMU 1,QMAR 1,AQUI 1,BURN 1,STCA 1,IONA 2,,,"1-4=S; 5,6=FC; 7=FD"
267 (B),10:15,23,G U15 8X+,repechage,1,STMG 1,STKT 1,STHI 1,TAKA 1,CRAI 1,STPC 1,QMAR 1,STCU 1,,"1-6=F; Rest=FB"
268 (C),10:19,24,B U15 8+,repechage,1,STBD 1,CBHS 2,STCC 1,MTAL 1,WTLB 1,CBHS 1,SHIR 1,,,"1-6=F; Rest=Elim"
269 (D),10:23,25,B U18 4+,repechage,1,MTAL 1,CBHS 2,HAMB 2,AGSB 1,CBHS 1,AGSB 2,,,,"1-3=FA"
270 (E),10:27,25,B U18 4+,repechage,2,,HASB 1,,KGCA 1,CHCO 1,SJHM 1,AGSB 3,,,"1-3=FA"
271 (F),10:31,26,G U18 4+,repechage,1,,WTLG 2,EGGS 1,WKDS 2,WTLG 1,WLGC 1,STAN 2,,,"1=FA; 2-5=FB"
272 (G),10:35,26,G U18 4+,repechage,2,,RRGS 2,WNCS 2,MLBG 1,SHGH 1,BARA 1,BARA 2,,,"1=FA; 2-5=FB"
273 (H),10:49,27,G U16 4X+,quarter-final,1,TRGG 1,BURN 1,WHGG 1,WNHS 1,COLU 1,DIOC 1,WTLG 1,OTUM 1,,"1-4=S; 5,6=FC; 7,8=FD"
274 (I),10:53,27,G U16 4X+,quarter-final,2,STMW 1,KGCA 1,MTAL 1,HAMG 1,CASH 1,STMG 1,PUKE 1,JHAR 1,,"1-4=S; 5,6=FC; 7,8=FD"
275 (J),10:57,27,G U16 4X+,quarter-final,3,TAKA 1,BARA 1,HOWI 1,QMAR 1,MARN 1,STPC 1,NCOG 1,,,"1-4=S; 5,6=FC; 7,8=FD"
276 (K),11:01,27,G U16 4X+,quarter-final,4,JPCR 1,STHI 1,CRAI 1,WAKA 1,DIOC 2,VILL 1,WAKA 2,,,"1-4=S; 5,6=FC; 7,8=FD"
277 (L),11:05,28,B U16 2X,repechage,1,SCOT 1,CAMB 1,CASH 1,SJHM 1,STPC 2,BURN 1,ROTO 1,WHGB 1,,"1-3=S; Rest Elim"
278 (M),11:09,28,B U16 2X,repechage,2,BURN 2,AQUI 1,SHIR 1,WNCS 1,SPLH 1,TRGB 1,TIMB 1,,,"1-3=S; Rest Elim"
279 (N),11:13,29,G U18 1X,repechage,1,,OGHS 1,WLGC 1,HOWI 1,QMAR 1,ONSL 1,TIMG 1,,,"1,2=Q; Rest=Elim"
280 (O),11:17,29,G U18 1X,repechage,2,,SLDG 1,EGGS 1,MLBG 1,BURN 1,TRIN 1,ACGT 1,,,"1,2=Q; Rest=Elim"
281 (P),11:21,30,B U18 1X,final,E,,ASHB 1,CBHS 1,TEAW 1,DARF 1,STCC 1,WNHS 2,,,""
282 (Q),11:25,30,B U18 1X,quarter-final,1,SPTW 1,STPA 1,SPLH 2,HAMB 1,NPLB 1,PUKE 1,STCC 2,,,"1-4=S; 5,6=FC; Rest=FD"
283 (R),11:29,30,B U18 1X,quarter-final,2,TRGB 2,LIND 1,OTUM 1,MTAL 1,BAYF 1,GBHS 1,HLCR 1,FRAN 1,,"1-4=S; 5,6=FC; Rest=FD"
284 (S),11:33,30,B U18 1X,quarter-final,3,AOTE 1,WNHS 1,STKV 1,MLBB 1,SPLH 1,WLCO 1,WENT 1,TIMB 1,,"1-4=S; 5,6=FC; Rest=FD"
285 (T),11:37,30,B U18 1X,quarter-final,4,SHAK 1,HASB 1,NELB 1,TRGB 1,WAKA 1,STPC 1,HAUR 1,NAPB 1,,"1-4=S; 5,6=FC; Rest=FD"
286 (U),11:41,31,G U15 2X,repechage,1,ASHB 1,MACL 1,STIL 1,GERA 1,VILL 1,WHGG 1,HUAN 1,KGCA 1,,"1,2=FA; 3-6=FB"
287 (V),11:45,31,G U15 2X,repechage,2,STPC 1,TRGG 1,MTAL 1,TAKA 1,WNHS 1,STHI 1,HAMG 2,TALC 1,,"1,2=FA; 3-6=FB"
288 (W),11:49,32,B U15 4X+,repechage,1,CHCO 1,GLDW 1,AGSB 1,MLBB 1,MTAS 1,STKT 1,STPA 1,TRGB 1,,"1,2=FA; 3-6=FB"
289 (X),11:53,32,B U15 4X+,repechage,2,TIMB 1,SHIR 1,MTAL 1,WNCS 1,AGSB 2,WAKA 2,STPC 1,AGSB 3,,"1,2=FA; 3-6=FB"
290 (Y),11:57,33,G U17 8+,repechage,1,STCU 1,WLGC 1,STKT 1,DIOC 1,RRGS 2,BARA 1,STPC 1,,,"1-6=F; Rest=Elim"
291 (Z),12:08,34,B U17 4+,repechage,1,WHAK 1,CHCO 2,WTLB 1,STAN 1,STAN 2,HAMB 1,ROTO 1,,,"1=FA; 2-5=FB"
292 (A),12:13,34,B U17 4+,repechage,2,PUKE 1,TIMB 1,MLBB 1,STPA 1,STKT 2,WTLB 2,WLCO 1,GBHS 1,,"1=FA; 2-5=FB"
293 (B),12:18,35,G N18 4X+,repechage,1,GERA 1,IONA 1,WAKA 1,CASH 1,STPC 1,WAKA 2,MTAL 1,NCOG 1,,"1,2=FA; 3-6=FB"
294 (C),12:23,35,G N18 4X+,repechage,2,STKT 1,COLU 1,VILL 1,WNHS 1,STKV 1,STHI 1,QMAR 1,OGHS 1,,"1,2=FA; 3-6=FB"
295 (D),12:28,36,B N18 4+,repechage,1,MTAL 1,CASH 1,SPTW 1,HAMB 1,FRAN 1,TRGB 1,TRGB 2,STBD 3,,"1=FA; 2-5=FB"
296 (E),12:33,36,B N18 4+,repechage,2,ASHB 1,SJHM 1,PAPA 1,AGSB 1,SLDB 1,TIMB 1,WTLB 1,,,"1=FA; 2-5=FB"
297 (F),12:38,37,G U16 4+,repechage,1,EGGS 1,DIOC 2,STAN 1,QMAR 1,SHGH 1,STMG 2,BARA 1,STAN 2,,"1,2=FA; 3-6=FB"
298 (G),12:43,37,G U16 4+,repechage,2,PUKE 1,RRGS 1,CGHS 1,STMG 1,OTUM 1,SAMU 1,WTLG 1,AVSG 1,,"1,2=FA; 3-6=FB"
299 (H),12:48,38,B U16 8+,repechage,1,,,STBD 1,CHCO 1,AGSB 1,OBHS 1,CBHS 2,,,"1-3=F; Rest=FB"
300 (I),12:53,38,B U16 8+,repechage,2,,WTLB 1,STAN 1,STPA 1,STKT 1,CBHS 1,STPA 2,,,"1-3=F; Rest=FB"
301 (J),12:58,39,G U17 2-,repechage,1,STMG 1,AVSG 1,BARA 1,EGGS 1,CASH 1,RRGS 2,STPC 2,AOTE 1,,"1,2=FA; 3-6=FB"
302 (K),13:03,39,G U17 2-,repechage,2,STPC 1,SAMU 2,STKT 1,GGHS 2,WTLG 1,RRGS 4,QMAR 1,STKT 2,,"1,2=FA; 3-6=FB"
303 (L),13:08,40,B U17 2-,repechage,1,OTUM 1,CASH 2,SHIR 1,STAN 1,HAMB 2,KGCA 1,WTKB 1,HAMB 1,,"1,2=FA; 3-6=FB"
304 (M),13:13,40,B U17 2-,repechage,2,KGCA 2,CASH 1,MTAL 1,STCC 1,STBD 1,STAN 2,GLDW 1,CHCO 1,,"1,2=FA; 3-6=FB"
305 (N),13:18,41,G U18 4X+,repechage,1,STCU 1,WTLG 1,HLCR 1,MTAL 1,SHGN 1,WAKA 1,VILL 2,,,"1=FA; 2-5=FB"
306 (O),13:23,41,G U18 4X+,repechage,2,WAKA 2,BURN 1,CRAI 1,KGCA 1,OGHS 1,GLDW 1,WHGG 1,NCOG 1,,"1=FA; 2-5=FB"
